FOLD,SHIP_NO,DWG_NO,TRUE_CODE,PRED_CODE
1,251506,SD12BA201,1_G,"1_1, 1_G"
1,251306,SD11BA201,1_G,"1_1, 1_G"
1,251206,SD17BA201,1_G,"1_1, 1_G"
1,251106,SD11BA201,1_G,"1_1, 1_G"
1,810306,WH61CY711,1_G,"1_G, 4_2"
1,251906,SN31CA201,1_G,"1_1, 1_G"
1,241806,SS18BA201,1_G,"1_1, 1_G"
1,246006,WA281EB11,1_G,"1_G, 1_1"
1,245006,WA281EB11,1_G,"1_G, 1_1"
1,244506,W1D11F851,1_G,"1_G, 1_D"
1,251906,SE21BC101,1_G,"1_1, 1_G"
1,251906,SE21BA201,1_G,"1_1, 1_G"
1,251806,SE23BC103,1_G,"1_1, 1_G"
1,251706,SE21BC101,1_G,"1_1, 1_G"
1,251706,SE21BA201,1_G,"1_1, 1_G"
1,242106,W1D14F856,1_G,"1_G, 1_D"
1,240206,W1D14F856,1_G,"1_G, 1_D"
1,247406,N1D11F883,1_G,"1_1, 1_G"
1,814806,SN26PA201,1_G,"1_1, 1_G"
1,814806,SN25BA201,1_G,"1_1, 1_G"
1,810206,WF51CF761,1_G,"1_G, 1_2"
1,814506,WH19CD713,1_G,"1_G, 1_2"
1,241906,WH11CY711,1_G,"1_G, 1_1"
1,244606,WA400FB41,1_G,"1_G, 1_1"
1,244806,WT14PF741,1_G,"1_G, 1_6"
1,241406,N1D14F832,1_G,"1_1, 1_G"
1,814706,1A000E009,1_G,"1_G, 1_1"
1,251506,WH11CF782,1_G,"1_G, 1_2"
1,246306,WF51CE711,1_G,"1_G, 1_1"
1,814606,WS52PF751,1_G,"1_G, 1_1"
1,814506,3A800E001,1_G,"1_G, 1_5"
1,240006,1A000E008,1_G,"1_G, 1_1"
1,239706,1A000E008,1_G,"1_G, 1_1"
1,251206,WH41CH716,1_G,"1_G, 1_3"
1,238006,WH11CY711,1_G,"1_G, 1_1"
1,814506,WE92PF751,1_G,"1_G, 1_1"
1,813806,WU71SH716,1_G,1_G
1,814706,SD42BA201,1_G,"1_1, 1_6"
1,814606,SD34BA201,1_G,"1_1, 5_2"
1,814506,SS34BA201,1_G,"1_1, 1_G"
1,814506,SD34BA201,1_G,"1_1, 5_2"
1,247906,W1D15F856,1_G,"1_G, 1_D"
1,247806,W1D15F856,1_G,"1_G, 1_D"
1,814506,1A000E006,1_G,"1_G, 1_1"
1,238706,WD91SE711,1_G,"6_1, 1_3"
1,S09206,3A000E005,1_G,1_G
1,249906,WE51ST711,1_G,"1_1, 1_G"
1,246306,WE51ST711,1_G,"1_1, 1_G"
1,246606,2A800A060,1_G,"1_G, 1_1"
1,814106,WA400EB11,1_G,"1_G, 1_1"
1,814106,WS71BE5HU,1_G,1_1
1,S09006,SE52BA201,1_G,"1_1, 1_G"
1,244606,2A100H003,1_G,"1_2, 1_G"
1,814206,1A000E006,1_G,"1_G, 1_1"
1,250006,WA500FB51,1_G,"1_G, 1_D"
1,241906,N1D14F832,1_G,"1_1, 1_G"
1,242206,WA230BB21,1_G,"1_G, 1_1"
1,813906,2A800A060,1_G,"1_G, 1_6"
